Id,Name,Description,Longitude,Latitude,Address,Phone,Email,District,StandbyTimesUrl,ShareStandbyTimes,HasCTH,HasSIGLIC,HasEmergency,InstitutionURL
141,"Hospital de Santo Tirso (Centro Hospitalar do Médio Ave, EPE)","Centro Hospitalar do Médio Ave, EPE",-8.48007,41.342344,Largo Domingos Moreira 4780-371 Santo Tirso,252830707,administracao@chma.min-saude.pt,Porto,http://api.pds.min-saude.pt/api/Tems/standbytime?id=141,True,True,True,True,http://www.chma.pt
168,"Hospital Pediátrico de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE) ","Centro Hospitalar e Universitário de Coimbra, EPE",-8.413439,40.224481,Av. Afonso Romão 3000-602 Coimbra,239488700,correio@hpc.chc.min-saude.pt,Coimbra,http://api.pds.min-saude.pt/api/Tems/standbytime?id=168,True,True,True,True,http://www.chuc.min-saude.pt
213,"Hospital Nossa Senhora do Rosário (Centro Hospitalar Barreiro Montijo, EPE)","Centro Hospitalar Barreiro Montijo, EPE",-9.059571,38.656545,Av. Movimento das Forças Armadas 2834-003 Barreiro,212147300,admin@chbm.min-saude.pt,Setúbal,http://api.pds.min-saude.pt/api/Tems/standbytime?id=213,True,True,True,True,http://www.chbm.min-saude.pt
222,"Hospital Distrital do Montijo (Centro Hospitalar Barreiro Montijo, EPE)","Centro Hospitalar Barreiro Montijo, EPE",-8.969652,38.679925,"Rua Machado dos Santos, 54 2870-351 Montijo",212147300,admin@chbm.min-saude.pt,Setúbal,http://api.pds.min-saude.pt/api/Tems/standbytime?id=222,True,True,True,True,http://www.chbm.min-saude.pt
219,"Hospital Distrital de Santarém, EPE",,-8.726093,39.262611,Av. Bernardo Santareno - Apartado 115 2005-177 Santarém,243300200,hdsca@hds.min-saude.pt,Santarém,http://api.pds.min-saude.pt/api/Tems/standbytime?id=219,True,True,True,True,http://www.hds.min-saude.pt/
211,"Hospital São José (Centro Hospitalar Lisboa Central, EPE)",Centro Hospitalar Lisboa Central,-9.1367603,38.716817,Rua José António Serrano 1150-199 Lisboa,218841000,sec.ca@chlc.min-saude.pt,Lisboa,http://api.pds.min-saude.pt/api/Tems/standbytime?id=211,True,True,True,True,http://www.chlc.min-saude.pt/
191,"Hospital Nossa Senhora da Assunção - Seia (Unidade Local de Saúde da Guarda, EPE)","Unidade Local de Saúde da Guarda, EPE",-7.697422,40.42085,Rua Alexandrina Soares Albergaria 6270-49 Seia,238320700,secretariado.ca@ulsguarda.min-saude.pt,Guarda,http://api.pds.min-saude.pt/api/Tems/standbytime?id=191,True,True,True,True,http://www.ulsguarda.min-saude.pt
205,"Hospital Rainha Santa Isabel - Torres Novas (Centro Hospitalar Médio Tejo, EPE)","Centro Hospitalar Médio Tejo, EPE",-8.550128,39.52267,Av. Xanana Gusmão - Ap. 45 2350-754 Torres Novas,249810100,geral@chmt.min-saude.pt,Santarém,http://api.pds.min-saude.pt/api/Tems/standbytime?id=205,True,True,True,True,http://www.chmt.min-saude.pt/
541,"Centro de Saúde Castro Verde (SUB - Unidade Local de Saúde do Baixo Alentejo, EPE)","Unidade Local de Saúde do Baixo Alentejo, EPE",-8.085975,37.701522,"Av. General Humberto Delgado, Apartado 17 7780-123 Castro Verde",286320140,cscastro@ulsba.min-saude.pt,Beja,http://api.pds.min-saude.pt/api/Tems/standbytime?id=541,True,False,False,True,http://www.ulsba.min-saude.pt/
151,"Hospital São Gonçalo - Amarante (Centro Hospitalar Tâmega e Sousa, EPE)","Centro Hospitalar Tâmega e Sousa, EPE",-8.080458,41.270974,"Rua da Lama, nº 76 4600-758 Amarante",255410500,administracao@chts.min-saude.pt,Porto,http://api.pds.min-saude.pt/api/Tems/standbytime?id=151,True,True,True,True,http://www.chtamegasousa.pt
145,"Hospital São Pedro de Vila Real (Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE)","Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE",-7.758708,41.308716457,Avenida da Noruega 5000-508 Vila Real,259300500,geral@chtmad.min-saude.pt,Vila Real,http://api.pds.min-saude.pt/api/Tems/standbytime?id=145,True,True,True,True,http://www.chtmad.min-saude.pt
177,Hospital São Pedro Gonçalves Telmo - Peniche (Centro Hospitalar do Oeste) ,Centro Hospitalar do Oeste,-9.38276622,39.36351068,Rua General Humberto Delgado 2520-447 Peniche,262780900,geral@hpeniche.min-saude.pt,Leiria,http://api.pds.min-saude.pt/api/Tems/standbytime?id=177,True,True,True,True,http://www.choeste.min-saude.pt/
6578,"Hospital Pedro Hispano (Unidade Local de Saúde de Matosinhos, EPE)","Unidade Local de Saúde de Matosinhos, EPE",-8.658875,41.181732,Rua Dr. Eduardo Torres 4454-509 Matosinhos,229391000,ca@ulsm.min-saude.pt,Porto,http://api.pds.min-saude.pt/api/Tems/standbytime?id=6578,True,True,True,True,http://www.ulsm.min-saude.pt
169,"Maternidade Bissaya Barreto (Centro Hospitalar e Universitário de Coimbra, EPE) ","Centro Hospitalar e Universitário de Coimbra, EPE",-8.414404,40.212729,Rua Augusta 3000-061  Coimbra,239480400,adm.mbb@chc.min-saude.pt,Coimbra,http://api.pds.min-saude.pt/api/Tems/standbytime?id=169,False,True,True,True,http://www.chuc.min-saude.pt
318,Centro de Saúde de Montalegre,,-7.828637,41.771901,"Rua Lama do Moinho, n.º 400 5470-225 Montalegre",276510160,csmontalegre@srsvreal.min-saude.pt,Vila Real,http://api.pds.min-saude.pt/api/Tems/standbytime?id=318,False,False,False,True,
344,Centro de Saúde de Arouca,,-8.243175,40.925867,Rua Dr. Ângelo Miranda 4540-140 Arouca,256940330,csarouca@csarouca.min-saude.pt,Aveiro,http://api.pds.min-saude.pt/api/Tems/standbytime?id=344,False,False,False,True,
135,"Hospital Distrital de Bragança (Unidade Local de Saúde do Nordeste, EPE) ","Unidade Local de Saúde do Nordeste, EPE",-6.773279,41.802904,Av. Abade Baçal 5301-852 B Bragança,273310800,secretariado@ulsne.min-saude.pt,Bragança,http://api.pds.min-saude.pt/api/Tems/standbytime?id=135,True,True,True,True,http://www.ulsne.min-saude.pt
137,"Hospital Distrital de Mirandela (Unidade Local de Saúde do Nordeste, EPE) ","Unidade Local de Saúde do Nordeste, EPE",-7.189462,41.485725,Av. Nossa Senhora do Amparo 5370-210 Mirandela,278260500,secretariado@ulsne.min-saude.pt,Bragança,http://api.pds.min-saude.pt/api/Tems/standbytime?id=137,True,True,True,True,http://www.ulsne.min-saude.pt
186,"Hospital Distrital Pombal (Centro Hospitalar de Leiria, EPE) ","Centro Hospitalar de Leiria, EPE",-8.62722617,39.91735,Av. Heróis do Ultramar - Apartado 40 3100-462 Pombal,236210000,secca@chleiria.min-saude.pt,Leiria,http://api.pds.min-saude.pt/api/Tems/standbytime?id=186,True,True,True,True,http://www.chleiria.pt
146,"Hospital São João (Centro Hospitalar de São João, EPE)","Centro Hospitalar de São João, EPE",-8.600733,41.182126,Alameda Professor Hernâni Monteiro 4200-319 P Porto,225512100,geral@chsj.min-saude.pt,Porto,http://api.pds.min-saude.pt/api/Tems/standbytime?id=146,True,True,True,True,http://www.portal-chsj.min-saude.pt
171,"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE) ","Centro Hospitalar e Universitário de Coimbra, EPE",-8.412677,40.220492,Av. Bissaya Barreto - Praceta Prof. Mota Pinto 3000-075 Coimbra,239400400,casec@huc.min-saude.pt,Coimbra,http://api.pds.min-saude.pt/api/Tems/standbytime?id=171,True,True,True,True,http://www.chuc.min-saude.pt
2564,Hospital Distrital Caldas da Rainha (Centro Hospitalar do Oeste) ,Centro Hospitalar do Oeste,-9.1297355,39.4044994,Rua Diário de Notícias 2500-176 Caldas da Rainha,262830300,secretariado.ca@choeste.min-saude.pt,Leiria,http://api.pds.min-saude.pt/api/Tems/standbytime?id=2564,True,True,True,True,http://www.choeste.min-saude.pt/
577,"Centro de Saúde de Ponte de Sor (SUB - Unidade Local de Saúde do Norte Alentejano, EPE)","Unidade Local de Saúde do Norte Alentejano, EPE",-8.014518321,39.25126222,Passeio Garibaldino de Andrade n.º 1 7400-294 Ponte de Sôr,242292000,geral.cs.pontedesor@ulsna.min-saude.pt,Portalegre,http://api.pds.min-saude.pt/api/Tems/standbytime?id=577,True,False,False,True,http://www.ulsna.min-saude.pt
208,"Hospital Dona Estefânia (Centro Hospitalar Lisboa Central, EPE)",Centro Hospitalar Lisboa Central,-9.138393,38.727517,Rua Jacinta Marto 1169-045 Lisboa,213126600,sec.adm.hde@chlc.min-saude.pt,Lisboa,http://api.pds.min-saude.pt/api/Tems/standbytime?id=208,True,True,True,True,http://www.chlc.min-saude.pt/
405,"Centro de Saúde de Vila Nova de Foz Côa (SUB - Unidade Local de Saúde da Guarda, EPE)","Unidade Local de Saúde da Guarda, EPE",-7.233593,41.015628,"Avenida da Misericórdia, 5 5150-632 Vila Nova de Foz Côa",279760050,secretariado.ca@ulsguarda.min-saude.pt,Guarda,http://api.pds.min-saude.pt/api/Tems/standbytime?id=405,True,False,False,True,http://www.ulsguarda.min-saude.pt
220,Hospital Distrital Torres Vedras (Centro Hospitalar do Oeste) ,Centro Hospitalar do Oeste,-9.2573522,39.0864259,Rua Dr. Aurélio Ricardo Belo 2560-324 Torres Vedras,261319300,secretariado.ca@choeste.min-saude.pt,Lisboa,http://api.pds.min-saude.pt/api/Tems/standbytime?id=220,True,True,True,True,http://www.choeste.min-saude.pt/
236,"Hospital de Faro (Centro Hospitalar do Algarve, EPE) ","Centro Hospitalar do Algarve, EPE",-7.929222,37.024667,Rua Leão Penedo 8000-386 Faro,289891100,administracao@chalgarve.min-saude.pt,Faro,http://api.pds.min-saude.pt/api/Tems/standbytime?id=236,True,True,True,True,http://www.chalgarve.min-saude.pt
173,"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)","Unidade Local de Saúde de Castelo Branco, EPE",-7.499842644,39.82292466,Av. Pedro Álvares Cabral 6000-084 Castelo Branco,272000272,geral@ulscb.min-saude.pt,Castelo Branco,http://api.pds.min-saude.pt/api/Tems/standbytime?id=173,True,True,True,True,http://www.ulscb.min-saude.pt/
237,"Hospital de Lagos (Centro Hospitalar do Algarve, EPE) ","Centro Hospitalar do Algarve, EPE",-8.670194,37.099639,Rua Castelo dos Governadores 8600-563 Lagos,282770100,administracao@chalgarve.min-saude.pt,Faro,http://api.pds.min-saude.pt/api/Tems/standbytime?id=237,True,False,True,True,http://www.chalgarve.min-saude.pt
238,"Hospital de Portimão (Centro Hospitalar do Algarve, EPE) ","Centro Hospitalar do Algarve, EPE",-8.539361,37.1324829,Sítio do Poço Seco 8500-338 Portimão,282450300,administracao@chalgarve.min-saude.pt,Faro,http://api.pds.min-saude.pt/api/Tems/standbytime?id=238,True,True,True,True,http://www.chalgarve.min-saude.pt
223,"Hospital Professor Doutor Fernando Fonseca, EPE",,-9.246694,38.744861,IC 19-Venteira 2720-276 Amadora,214348200,sec.geral@hff.min-saude.pt,Lisboa,http://api.pds.min-saude.pt/api/Tems/standbytime?id=223,True,True,True,True,http://www.hff.min-saude.pt
333,"Centro de Saúde Monção (SUB - Unidade Local de Saúde do Alto Minho, EPE)","Unidade Local de Saúde do Alto Minho, EPE",-8.549406,42.031588,Lugar de Barreiras - Mazedo 4950-404 Monção,251653926,csmoncao@csmoncao.min-saude.pt,Viana do Castelo,http://api.pds.min-saude.pt/api/Tems/standbytime?id=333,True,False,False,True,http://www.cham.min-saude.pt/
189,"Hospital Infante D. Pedro - Aveiro (Centro Hospitalar do Baixo Vouga, EPE)","Centro Hospitalar do Baixo Vouga, EPE",-8.6543716,40.6362453,Av. Artur Ravara 3814-501 Aveiro,234378300,sec-adm@chbv.min-saude.pt,Aveiro,http://api.pds.min-saude.pt/api/Tems/standbytime?id=189,True,True,True,True,http://www.chbv.min-saude.pt
185,"Hospital Distrital São João da Madeira (Centro Hospitalar de Entre o Douro e Vouga, EPE)","Centro Hospitalar de Entre Douro e Vouga, EPE",-8.494523764,40.89358667,Av. da Misericórdia 3700-190 São João da  Madeira,256837500,hsjm@chedv.min-saude.pt,Aveiro,http://api.pds.min-saude.pt/api/Tems/standbytime?id=185,True,True,True,True,http://www.chedv.min-saude.pt
196,"Instituto Português de Oncologia de Coimbra Francisco Gentil, EPE",IPO Coimbra,-8.409669399,40.21797905,"Av. Bissaya Barreto, 98 3000-075 Coimbra",239400200,secad@ipocoimbra.min-saude.pt,Coimbra,http://api.pds.min-saude.pt/api/Tems/standbytime?id=196,False,True,True,False,http://www.croc.min-saude.pt/
193,"Hospital Psiquiátrico Sobral Cid (Centro Hospitalar e Universitário de Coimbra, EPE) ","Centro Hospitalar e Universitário de Coimbra, EPE",-8.400608,40.176031,Conraria 3031-801 Ceira,239796400,geral@chpc.min-saude.pt,Coimbra,http://api.pds.min-saude.pt/api/Tems/standbytime?id=193,False,True,True,False,http://www.chuc.min-saude.pt
142,"Hospital Dom Luiz I - Peso da Régua (Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE)","Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE",-7.792460918,41.16563551,Praceta Delfim Ferreira 5054-001 Peso da Régua,254320430,geral@chtmad.min-saude.pt,Vila Real,http://api.pds.min-saude.pt/api/Tems/standbytime?id=142,False,True,True,False,http://www.chtmad.min-saude.pt
439,Centro de Saúde de São Pedro do Sul,,-8.067956,40.755379,Largo do Hospital 3660-439 São Pedro do Sul,232720180,,Viseu,http://api.pds.min-saude.pt/api/Tems/standbytime?id=439,False,False,False,True,
147,"Hospital de Famalicão (Centro Hospitalar do Médio Ave, EPE)","Centro Hospitalar do Médio Ave, EPE",-8.52108,41.412323,Rua de Cupertino de Miranda 4764-958 Vila Nova de Famalicão,252300800,administracao@chma.min-saude.pt,Braga,http://api.pds.min-saude.pt/api/Tems/standbytime?id=147,True,True,True,True,http://www.chma.pt
